house_type,locality,city,area,beds,bathrooms,balconies,furnishing,area_rate,rent
"2 BHK Flat for Rent in Marathahalli, Bangalore",Marathahalli,Bangalore,1180,2,2,2,Semi-Furnished,32,38000
"3 BHK Flat for Rent in Hebbal, Bangalore",Hebbal,Bangalore,3000,3,3,2,Furnished,57,170000
"2 BHK Flat for Rent in Bandra West, Mumbai",Bandra West,Mumbai,950,2,2,0,Furnished,142,140000
2 BHK House for Rent in Mahipalpur New Delhi,Mahipalpur,New Delhi,630,2,1,0,Unfurnished,13,8000
"5 BHK Villa for Rent in Gera Isle Royale, Bavdhan Pune",Bavdhan,Pune,3186,5,5,0,Semi-Furnished,44,140000
3 BHK House for Rent in Sahakar Nagar Bangalore,Sahakara Nagar,Bangalore,1400,3,3,0,Unfurnished,29,40000
"2 BHK Flat for Rent in Hebbal, Bangalore",Hebbal,Bangalore,1420,2,2,2,Semi-Furnished,25,35000
"3 BHK Flat for Rent in Green Apartments, Pitam Pura, New Delhi",Pitampura,New Delhi,1200,3,2,0,Furnished,29,35000
"3 BHK Flat for Rent in Oberoi Sky City, Borivali East, Mumbai",Borivali East,Mumbai,1094,3,3,0,Semi-Furnished,112,120000
4 BHK Villa for Rent in Hennur Gardens Bangalore,Hennur,Bangalore,3000,4,5,2,Furnished,67,200000
"3 BHK Flat for Rent in Evershine Cosmic, Andheri West, Mumbai",Andheri West,Mumbai,1500,3,3,0,Semi-Furnished,60,90000
"3 BHK Flat for Rent in Raheja Reserve, NIBM Road, Pune",NIBM Road,Pune,1350,3,3,3,Unfurnished,39,52000
"2 BHK Flat for Rent in Pimple Nilakh, Pimpri Chinchwad, Pune",Pimple Nilakh,Pune,800,2,2,0,Unfurnished,30,24000
"1 BHK Flat for Rent in Kalbadevi, Mumbai",Kalbadevi,Mumbai,315,1,1,0,Furnished,143,45000
3 BHK House for Rent in Electronic City Bangalore,Electronic City,Bangalore,2000,3,3,3,Semi-Furnished,13,25000
1 BHK House for Rent in Manjari BK Pune,Manjri Budruk,Pune,630,1,1,0,Unfurnished,12,7500
"3 BHK Flat for Rent in Balagere, Bangalore",Balagere,Bangalore,1700,3,3,2,Semi-Furnished,37,63000
"1 BHK Flat for Rent in Godrej Tranquil, Lokhandwala Township Kandivali East, Mumbai",Lokhandwala Township Kandivali East,Mumbai,427,1,1,0,Unfurnished,80,34000
"1 BHK Flat for Rent in Sadoday Palace, Kamptee Road, Nagpur",Kamptee Road,Nagpur,650,1,1,0,Unfurnished,13,8500
"4 BHK Flat for Rent in Hulimavu, Bangalore",Hulimavu,Bangalore,3560,4,5,5,Furnished,37,130000
2 BHK House for Rent in Freedom Fighters Enclave New Delhi,Freedom Fighters Enclave,New Delhi,1250,2,2,0,Furnished,28,35000
"3 BHK Flat for Rent in Sarjapur Road, Bangalore",Sarjapur Road,Bangalore,1200,3,3,2,Furnished,38,45000
"1 BHK Flat for Rent in Magarpatta City Zinnia, Hadapsar, Pune",Hadapsar,Pune,450,1,1,10,Furnished,56,25000
"3 BHK Flat for Rent in Begur Road, Bangalore",Begur Road,Bangalore,1631,3,2,2,Semi-Furnished,36,58000
"2 BHK Flat for Rent in Silver Valley, Wanowrie, Pune",Wanawari,Pune,1200,2,2,0,Unfurnished,22,27000
"2 BHK Flat for Rent in Anutham, Mulund East, Mumbai",Mulund East,Mumbai,675,2,2,2,Unfurnished,67,45000
"3 BHK Flat for Rent in Neeladri Nagar, Bangalore",Neeladri Nagar,Bangalore,1845,3,3,3,Semi-Furnished,24,45000
"3 BHK Flat for Rent in Supreme Elenor, Deonar Chembur, Mumbai",Deonar Chembur,Mumbai,1200,3,3,0,Unfurnished,108,130000
"2 BHK Flat for Rent in D Kapoor Twinkle Apartment, Andheri West, Mumbai",Andheri West,Mumbai,800,2,2,0,Unfurnished,94,75000
"4 BHK Flat for Rent in Emaar Common Wealth Games Village, Commonwealth Games Village, New Delhi",Commonwealth Games Village,New Delhi,2260,4,4,3,Furnished,53,120000
"2 BHK Flat for Rent in Handewadi, Pune",Handewadi,Pune,810,2,2,0,Semi-Furnished,15,12000
3 BHK House for Rent in Block C Dashrath Puri New Delhi,Block C Dashrath Puri,New Delhi,900,3,2,2,Semi-Furnished,22.22222222,20000
"2 BHK Flat for Rent in Somalwada, Nagpur",Somalwada,Nagpur,1100,2,2,2,Semi-Furnished,16,18000
"1 BHK Flat for Rent in Jogeshwari East, Mumbai",Jogeshwari East,Mumbai,440,1,1,0,Furnished,80,35000
2 BHK House for Rent in RR Nagar Bangalore,Rajarajeshwari Nagar,Bangalore,900,2,2,0,Unfurnished,19,17000
"2 BHK Flat for Rent in Besa, Nagpur",Besa,Nagpur,1150,2,2,2,Furnished,16,18000
"2 BHK House for Rent in Hoodi, Hoodi Bangalore",Hoodi,Bangalore,1200,2,2,0,Semi-Furnished,16,19000
1 BHK House for Rent in Ayodhya Nagar Nagpur,Ayodhya Nagar,Nagpur,1700,1,1,0,Unfurnished,6,11000
2 BHK House for Rent in Stage 3rd HAL Bangalore,HAL 3rd Stage,Bangalore,600,2,1,0,Semi-Furnished,33,20000
"2 BHK Flat for Rent in Ganesh Nagar Tilak Nagar, New Delhi",Ganesh Nagar,New Delhi,550,2,1,0,Semi-Furnished,25,13500
4 BHK Villa for Rent in State Highway 104 Bangalore,State Highway 104,Bangalore,4900,4,4,0,Furnished,33,160000
"3 BHK Flat for Rent in Wagholi, Pune",Wagholi,Pune,1000,3,3,0,Unfurnished,20,20000
"2 BHK Flat for Rent in Manayata Tech Park, Bangalore",Manyata Tech Park,Bangalore,800,2,2,2,Unfurnished,38,30000
"2 BHK Flat for Rent in Ganga Constella, Kharadi, Pune",Kharadi,Pune,900,2,2,2,Semi-Furnished,39,35000
"3 BHK Flat for Rent in Katyayani Apartment, Sector 6 Dwarka, New Delhi",Sector 6 Dwarka,New Delhi,1200,3,2,2,Furnished,30,36000
"2 BHK Flat for Rent in Royal Palms, Goregaon East, Mumbai",Goregaon East,Mumbai,600,2,2,0,Unfurnished,41,24500
"1 BHK Flat for Rent in Sion, Mumbai",Sion,Mumbai,550,1,2,0,Unfurnished,57,31507
"4 BHK Flat for Rent in Thanisandra Main Road, Bangalore",Thanisandra Main Road,Bangalore,2494,4,4,0,Semi-Furnished,160,400000
"2 BHK Flat for Rent in Nawada, New Delhi",Nawada,New Delhi,612,2,1,0,Unfurnished,15,9000
"2 BHK Flat for Rent in Accord Nidhi, Liberty Garden, Mumbai",Liberty Garden,Mumbai,690,2,2,2,Unfurnished,72,50000
"3 BHK Flat for Rent in Spiro Tower, Neelam Nagar, Mumbai",Neelam Nagar,Mumbai,1250,3,3,6,Furnished,52,65000
"4 BHK Flat for Rent in Tahnee Heights, Napean Sea Road, Mumbai",Napean Sea Road,Mumbai,3500,4,5,0,Semi-Furnished,200,700000
"2 BHK House for Rent in Pns Layout, Kalyan Nagar Bangalore",PNS Layout,Bangalore,650,2,2,0,Semi-Furnished,31,20000
"1 BHK Flat for Rent in Onkar, Goregaon East, Mumbai",Goregaon East,Mumbai,423,1,1,0,Furnished,102,43000
"2 BHK Flat for Rent in Kabra Rageshree, Borivali West, Mumbai",Borivali West,Mumbai,761,2,2,2,Furnished,79,60000
"1 BHK Flat for Rent in Snow White, Khar West, Mumbai",Khar West,Mumbai,300,1,1,0,Unfurnished,103,31000
"3 BHK Flat for Rent in Punawale, Pimpri Chinchwad, Pune",Punawale,Pune,1000,3,3,2,Furnished,32,32000
"2 BHK Flat for Rent in Chinchwad Gaon, Pimpri Chinchwad, Pune",Chinchwad Gaon,Pune,700,2,1,0,Furnished,24,16500
"2 BHK Flat for Rent in Kolte Patil Umang Premiere, Wagholi, Pune",Wagholi,Pune,1100,2,2,2,Furnished,21,23000
2 BHK House for Rent in New Colony Nagpur,New Colony,Nagpur,1500,2,2,2,Semi-Furnished,12,18000
"2 BHK Flat for Rent in Lok Nayak Puram, Bakkarwala, New Delhi",Lok Nayak Puram,New Delhi,500,2,1,0,Semi-Furnished,15,7250
1 BHK House for Rent in Dighori Road Nagpur,Dighori Road,Nagpur,800,1,2,0,Semi-Furnished,10,8000
"2 BHK Flat for Rent in Pali Hill, Mumbai",Pali Hill,Mumbai,600,2,1,0,Semi-Furnished,125,75000
"2 BHK Flat for Rent in Mohan Garden Uttam Nagar, New Delhi",Mohan Garden Uttam Nagar,New Delhi,650,2,2,0,Semi-Furnished,17,11000
"2 BHK Flat for Rent in Mantra Montana, Dhanori, Pune",Dhanori,Pune,780,2,2,2,Semi-Furnished,26,20000
"2 BHK Flat for Rent in Shree Ram Hill View, Lohegaon, Pune",Lohegaon,Pune,750,2,2,0,Semi-Furnished,27,20000
"3 BHK Flat for Rent in Malabar Hill, Mumbai",Malabar Hill,Mumbai,1365,3,4,0,Semi-Furnished,147,200000
3 BHK House for Rent in Dabha Nagpur,Dabha,Nagpur,1000,3,3,0,Unfurnished,28,28000
"1 BHK Flat for Rent in Sone Gaon, Nagpur",Sone Gaon,Nagpur,600,1,1,0,Semi-Furnished,12,7500
2 BHK House for Rent in Wardha Nagpur,Wardha,Nagpur,1500,2,2,2,Semi-Furnished,5,8000
"3 BHK Flat for Rent in NTPC Apartment, Sector 19 Dwarka, New Delhi",Sector 19 Dwarka,New Delhi,1800,3,3,4,Furnished,31,55000
"1 BHK Flat for Rent in Swastik Muhurtam, Mahalunge, Pune",Mahalunge,Pune,450,1,1,0,Furnished,29,12999
"3 BHK Flat for Rent in Chhatarpur Extension, New Delhi",Chhatarpur Extension,New Delhi,1250,3,3,2,Unfurnished,22,28000
"2 BHK Flat for Rent in New Golden Nest Road, Mumbai",New Golden Nest Road,Mumbai,750,2,2,0,Unfurnished,32,24000
"3 BHK Flat for Rent in Ber Sarai, New Delhi",Ber Sarai,New Delhi,2000,3,2,2,Unfurnished,16,32000
"1 BHK Flat for Rent in Powai, Mumbai",Powai,Mumbai,250,1,1,0,Unfurnished,60,15000
"2 BHK Flat for Rent in Fortune East, Kharadi, Pune",Kharadi,Pune,950,2,2,0,Semi-Furnished,32,30000
"3 BHK Flat for Rent in JVPD Scheme, Mumbai",JVPD Scheme,Mumbai,1240,3,3,0,Unfurnished,181,230000
"3 BHK Flat for Rent in Mahendra Park, Jhangir Puri, New Delhi",Mahendra Park,New Delhi,200,3,2,2,Unfurnished,130,26000
2 BHK House for Rent in West Sagarpur New Delhi,Sagarpur West,New Delhi,630,2,2,0,Semi-Furnished,19,12000
"4 BHK Flat for Rent in Block 1st Koramangala, Bangalore",Block 1st Koramangala,Bangalore,2100,4,4,3,Furnished,71,150000
"4 BHK Flat for Rent in Amar Eternity, Baner, Pune",Baner,Pune,3400,4,5,2,Semi-Furnished,81,280000
"2 BHK Flat for Rent in Bhaktamar Residency, Wadgaon Sheri, Pune",Wadgaon Sheri,Pune,1200,2,2,2,Unfurnished,32,38000
"2 BHK Flat for Rent in Jaitala, Nagpur",Jaitala,Nagpur,750,2,1,0,Furnished,23,17500
"2 BHK Flat for Rent in Sampigehalli, Sampigehalli, Bangalore",Sampigehalli,Bangalore,340,2,2,0,Semi-Furnished,94,32000
4 BHK House for Rent in Whitefield Bangalore,Whitefield,Bangalore,1750,4,5,3,Unfurnished,57,100000
2 BHK House for Rent in Khapri Nagpur,Khapri,Nagpur,1230,2,2,2,Unfurnished,7,8000
"3 BHK Flat for Rent in Chakan, Pune",Chakan,Pune,1288,3,3,3,Unfurnished,12,15000
"1 BHK Flat for Rent in Vasai East, Mumbai",Vasai East,Mumbai,261,1,1,0,Semi-Furnished,38,10000
"3 BHK Flat for Rent in Marathahalli, Bangalore",Marathahalli,Bangalore,1580,3,3,3,Semi-Furnished,38,60000
"3 BHK Flat for Rent in Stage 2 Indiranagar, Bangalore",Indira nagar Stage 2,Bangalore,1700,3,3,3,Furnished,44,75000
"3 BHK Flat for Rent in Rohan Tarang, Wakad, Pune",Wakad,Pune,1600,3,3,3,Furnished,32,52000
2 BHK House for Rent in Dwarka Sector 9 New Delhi,Sector 9 Dwarka,New Delhi,800,2,1,0,Unfurnished,10,8000
1 BHK House for Rent in Chembur Mumbai,Chembur,Mumbai,300,1,0,0,Unfurnished,17,5000
"1 BHK Flat for Rent in Atmanand Apartment, Vishrantwadi, Airport Road, Pune",Vishrantwadi,Pune,650,1,1,0,Semi-Furnished,20,13000
"4 BHK Flat for Rent in Skyi Songbirds, Bhugaon, Bavdhan, Pune",Bhugaon,Pune,1900,4,4,3,Unfurnished,21,40000
"1 BHK Flat for Rent in Rajouri Apartments, Rajouri Garden, New Delhi",Rajouri Garden,New Delhi,600,1,1,0,Semi-Furnished,33,20000
"2 BHK Flat for Rent in Gottigere, Bangalore",Gottigere,Bangalore,1178,2,2,4,Unfurnished,15,18000
"2 BHK Flat for Rent in Chatrapati Nagar, Nagpur",Chatrapati Nagar,Nagpur,700,2,1,2,Unfurnished,21,15000
"2 BHK Flat for Rent in Dabha, Nagpur",Dabha,Nagpur,920,2,2,2,Unfurnished,10,9000
"2 BHK House for Rent in Manjri, Manjri Budruk Pune",Manjri,Pune,800,2,2,0,Unfurnished,12,10000
"3 BHK Flat for Rent in Itpl, Whitefield, Bangalore",ITPL,Bangalore,1800,3,3,2,Semi-Furnished,40,72000
"2 BHK Flat for Rent in Matunga West, Mumbai",Matunga West,Mumbai,950,2,2,0,Furnished,132,130000
"2 BHK Flat for Rent in Alica Nagar CHS, Lokhandwala Township Kandivali East, Mumbai",Lokhandwala Township Kandivali East,Mumbai,530,2,2,0,Semi-Furnished,66,35000
"1 BHK Flat for Rent in Sant Nagar East of Kailash, New Delhi",Sant Nagar East of Kailash,New Delhi,400,1,1,0,Semi-Furnished,38,15000
3 BHK House for Rent in Ashok Vihar New Delhi,Ashok Vihar,New Delhi,1530,3,3,0,Unfurnished,23,35000
"1 BHK Flat for Rent in Grant Road East, Mumbai",Grant Road East,Mumbai,675,1,1,0,Furnished,102,69000
"3 BHK Flat for Rent in Laxman Nagar Baner, Pune",Laxman Nagar Baner,Pune,1100,3,2,2,Semi-Furnished,30,33000
"4 BHK Flat for Rent in Vasant Vihar, New Delhi",Vasant Vihar,New Delhi,2200,4,4,2,Semi-Furnished,148,330000
"3 BHK Flat for Rent in Suyog Nagar, Nagpur",Suyog Nagar,Nagpur,1250,3,2,3,Semi-Furnished,17,21000
"2 BHK Flat for Rent in Gera Park View, Kharadi, Pune",Kharadi,Pune,810,2,2,2,Semi-Furnished,40,32000
1 BHK House for Rent in Katraj Pune,Katraj,Pune,600,1,1,0,Unfurnished,28,17000
1 BHK House for Rent in Yelahanka Bangalore,Yelahanka,Bangalore,1100,1,2,0,Unfurnished,11,12000
"3 BHK Flat for Rent in DDA Narwana Apartments, Indraprastha, New Delhi",Indraprastha,New Delhi,1350,3,2,2,Furnished,44,60000
"3 BHK Flat for Rent in India Bulls Sky Forest, Lower Parel, Mumbai",Lower Parel,Mumbai,1513,3,3,3,Unfurnished,152,230000
"3 BHK House for Rent in Project Pushpanjali Enclave, Pushpanjali Enclave New Delhi",Pushpanjali Enclave,New Delhi,1660,3,2,2,Semi-Furnished,18,30000
"1 BHK Flat for Rent in Veerchakra Colony Welcome Society, Katol Road, Nagpur",Katol Road,Nagpur,550,1,1,3,Semi-Furnished,18,10000
"2 BHK Flat for Rent in Civil Lines, Nagpur",Civil Lines,Nagpur,1200,2,2,3,Semi-Furnished,19,23000
"1 BHK House for Rent in Lok Rachana, Amar Nagar Mulund West Mumbai",Amar Nagar Mulund West,Mumbai,490,1,1,0,Furnished,51,25000
"2 BHK Flat for Rent in Hennur Gardens, Bangalore",Hennur,Bangalore,800,2,2,0,Semi-Furnished,45,36000
3 BHK House for Rent in Shastri Nagar New Delhi,Shastri Nagar,New Delhi,576,3,2,0,Semi-Furnished,38,22000
"2 BHK Flat for Rent in Dosti Eastern Bay, Wadala East, Mumbai",Wadala East,Mumbai,673,2,2,0,Semi-Furnished,116,78000
"2 BHK Flat for Rent in Sarjapur Road, Bangalore",Sarjapur Road,Bangalore,1237,2,2,0,Semi-Furnished,40,50000
"2 BHK Flat for Rent in Undri, Pune",Undri,Pune,825,2,2,0,Unfurnished,40,33000
1 BHK House for Rent in Dhanori Pune,Dhanori,Pune,500,1,1,0,Semi-Furnished,18,9000
"3 BHK Flat for Rent in Domlur, Domlur, Bangalore",Domlur,Bangalore,1750,3,4,3,Semi-Furnished,57,100000
2 BHK House for Rent in Sector 14 Dwarka New Delhi,Sector 14 Dwarka,New Delhi,800,2,1,0,Semi-Furnished,12,10000
3 BHK House for Rent in Karvenagar Pune,Karve Nagar,Pune,1500,3,3,2,Furnished,30,45000
"2 BHK Flat for Rent in Ravi Nagar, Nagpur",Ravi Nagar,Nagpur,625,2,1,2,Unfurnished,24,15000
"1 BHK Flat for Rent in Kundan Nagar, Laxmi Nagar, New Delhi",Kundan Nagar,New Delhi,450,1,1,0,Semi-Furnished,11,5000
"3 BHK Flat for Rent in Prabha Apartment, Sector 23 Dwarka, New Delhi",Sector 23 Dwarka,New Delhi,1800,3,3,2,Semi-Furnished,25,45000
2 BHK House for Rent in Karol Bagh New Delhi,Karol Bagh,New Delhi,800,2,2,0,Unfurnished,50,40000
"4 BHK Flat for Rent in Bandra West, Mumbai",Bandra West,Mumbai,2000,4,5,2,Semi-Furnished,250,500000
"1 BHK Flat for Rent in Dhanori, Pune",Dhanori,Pune,520,1,1,0,Semi-Furnished,19,10000
2 BHK House for Rent in Gottigere Bangalore,Gottigere,Bangalore,700,2,1,0,Semi-Furnished,11,7500
"2 BHK Flat for Rent in Goregaon West, Mumbai",Goregaon West,Mumbai,350,2,2,0,Unfurnished,69,23999
"2 BHK Flat for Rent in Harlur, Bangalore",Harlur,Bangalore,845,2,2,0,Semi-Furnished,53,45000
"3 BHK Flat for Rent in Vidisha Apartment, Madhu Vihar, New Delhi",Madhu Vihar,New Delhi,1115,3,3,0,Semi-Furnished,27,30000
2 BHK House for Rent in MKS Layout Bangalore,MKS Layout,Bangalore,1000,2,2,0,Semi-Furnished,25,25000
"2 BHK Flat for Rent in Stage 2nd BTM Layout, Bangalore",BTM Layout Stage 2,Bangalore,600,2,2,0,Semi-Furnished,47,28000
"2 BHK Flat for Rent in Ecopolitan, Punvale Bazar, Pune",Punvale Bazar,Pune,780,2,2,0,Semi-Furnished,29,23000
"3 BHK Flat for Rent in Pride Pride Platinum, Baner, Pune",Baner,Pune,1350,3,3,2,Semi-Furnished,30,40000
"1 BHK Flat for Rent in Bhandup, Mumbai",Bhandup,Mumbai,250,1,1,0,Furnished,60,15000
"4 BHK Flat for Rent in Tumkur Road, Bangalore",Tumkur Road,Bangalore,1520,4,5,2,Semi-Furnished,36,55000
"3 BHK Flat for Rent in Nagdevanahalli, Bangalore",Nagdevanahalli,Bangalore,1240,3,2,2,Semi-Furnished,20,25000
"3 BHK Flat for Rent in Dosti Eastern Bay, Wadala East, Mumbai",Wadala East,Mumbai,1040,3,3,0,Semi-Furnished,123,130000
"2 BHK Flat for Rent in Sukhwani Shivom, Kiwale, Dehu Road, Pune",Kiwale,Pune,680,2,2,2,Semi-Furnished,26,18000
1 BHK House for Rent in Btm Layout Bangalore,BTM Layout,Bangalore,500,1,1,0,Semi-Furnished,25,12500
"2 BHK Flat for Rent in Malviya Nagar, New Delhi",Malviya Nagar,New Delhi,900,2,2,2,Furnished,33,30000
1 BHK House for Rent in Horamavu Bangalore,Horamavu,Bangalore,800,1,1,0,Unfurnished,19,15000
"2 BHK Flat for Rent in Charholi BK, Pune",Charholi Budruk,Pune,796,2,2,0,Unfurnished,25,20000
"2 BHK Flat for Rent in Burari, New Delhi",Burari,New Delhi,70,2,2,0,Unfurnished,200,14000
"2 BHK Flat for Rent in Tumkur Road, Bangalore",Tumkur Road,Bangalore,1058,2,2,0,Semi-Furnished,64,68000
"1 BHK Flat for Rent in Kharadi, Pune",Kharadi,Pune,600,1,1,0,Unfurnished,23,14000
"3 BHK Flat for Rent in Kolte Patil IVY Apartment, Wagholi, Pune",Wagholi,Pune,1300,3,3,3,Semi-Furnished,25,33000
"1 BHK Flat for Rent in Bhosale Garden, Hadapsar, Pune",Hadapsar,Pune,550,1,1,0,Semi-Furnished,28,15500
4 BHK Villa for Rent in Hoskote Bangalore,Hoskote,Bangalore,2650,4,4,0,Semi-Furnished,13,35000
"3 BHK Flat for Rent in Phase 5 JP Nagar, Bangalore",Phase 5 JP Nagar,Bangalore,1200,3,2,0,Semi-Furnished,69,83334
"2 BHK Flat for Rent in Freedom Fighters Enclave, New Delhi",Freedom Fighters Enclave,New Delhi,850,2,2,2,Furnished,41,35000
"2 BHK Flat for Rent in First City, Mihan, Nagpur",Mihan,Nagpur,909,2,2,0,Furnished,44,40000
"3 BHK Flat for Rent in Safdarjung Development Area, Hauz Khas, New Delhi",Safdarjung Development Area,New Delhi,1450,3,3,2,Semi-Furnished,97,140000
"1 BHK Flat for Rent in Green Fields, Andheri East, Mumbai",Andheri East,Mumbai,532,1,2,0,Unfurnished,62,33000
"3 BHK Flat for Rent in Lower Parel, Mumbai",Lower Parel,Mumbai,1200,3,3,0,Furnished,138,170000
"> 10 BHK Flat for Rent in Bagalur Main Road, Bangalore",Bagalur Main Road,Bangalore,795,10,2,0,Semi-Furnished,23,18000
1 BHK House for Rent in Phase 8th JP Nagar Bangalore,Phase 8th JP Nagar,Bangalore,600,1,1,0,Semi-Furnished,23,14000
1 BHK House for Rent in Patel Nagar New Delhi,Patel Nagar,New Delhi,1100,1,1,0,Semi-Furnished,27,30000
1 BHK House for Rent in Hinjawadi Pune,Hinjewadi,Pune,650,1,1,2,Unfurnished,18,12000
1 BHK House for Rent in Jogeshwari East Mumbai,Jogeshwari East,Mumbai,350,1,1,0,Unfurnished,34,12000
2 BHK House for Rent in Katraj Pune,Katraj,Pune,900,2,2,0,Semi-Furnished,13,12000
"2 BHK Flat for Rent in Keshav Nagar Mundhwa, Pune",Keshav Nagar,Pune,1195,2,2,0,Semi-Furnished,28,34000
"4 BHK Flat for Rent in Gulmohar Apartments, Sector 11 Dwarka, New Delhi",Sector 11 Dwarka,New Delhi,1850,4,4,3,Semi-Furnished,22,40000
